"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
26766,"WALX","small_airport","Mangkajang Airport",2.00750994682,117.749000549,47,"AS","ID","ID-KI","Mangkajang-Borneo Island","no","WALX",,,,,
31540,"WAMA","small_airport","Gamarmalamo Airport",1.8383300304412842,127.78600311279297,180,"AS","ID","ID-MU","Galela-Celebes Island","no","WAMA","GLX",,,,
41481,"WRKR","small_airport","David Constantijn Saudale Airport",-10.7673,123.0747,470,"AS","ID","ID-NT","Ba'a - Rote Island","no","WATR","RTI",,"http://rti.otoritasbandara.info/","https://en.wikipedia.org/wiki/David_Constantijn_Saudale_Airport","WRKR, Roti Airport, Lekunik Airport"
41482,"WRKS","small_airport","Sabu-Tardanu Airport",-10.4924,121.8482,71,"AS","ID","ID-NT","Sabu-Sawu Island","no","WATS","SAU",,,"http://id.wikipedia.org/wiki/Bandar_Udara_Tardamu","WRKS, Tardamu, Sawu"
41483,"WRLA","small_airport","Sanggata/Sangkimah Airport",0.3847,117.543,60,"AS","ID","ID-KI","Sanggata/Sangkimah","no","WALA","SGQ",,,"http://id.wikipedia.org/wiki/Bandar_Udara_Sangkimah","WRLA, Pertamina"
35279,"WRLB","small_airport","Long Bawan Airport",3.9028,115.6921,3165,"AS","ID","ID-KU","Long Bawan-Borneo Island","yes","WALB","LBW",,,"http://en.wikipedia.org/wiki/Long_Bawan_Airport","WRLB, Juvai Semaring Airport, Yuvai Semaring, Long Bawang"
30806,"WRLC","small_airport","Bontang Airport",0.119691,117.474998,49,"AS","ID","ID-KI","Bontang-Borneo Island","yes","WALC","BXT",,,"https://en.wikipedia.org/wiki/PT_Badak_Bontang_Airport","WRLC"
35281,"WRLF","small_airport","Nunukan Airport",4.13333333333,117.666666667,30,"AS","ID","ID-KU","Nunukan-Nunukan Island","yes","WALF","NNX",,,"http://en.wikipedia.org/wiki/Nunukan_Airport",
41484,"WRLH","small_airport","Tanah Grogot Airport",-1.91013002396,116.202003479,17,"AS","ID","ID-KI","Tanah Grogot-Borneo Island","no","WRLH","TNB",,,,
311283,"WRLJ","small_airport","Tanjung Bara Airport",0.5605,117.64435,66,"AS","ID","ID-KI","Sangata","no","WRLJ",,"WRLJ",,"http://id.wikipedia.org/wiki/Bandar_Udara_Tanjung_Bara",
41485,"WRLL","closed","[Duplicate] Balikpapan Airport",-1.269928,116.891056,8,"AS","ID","ID-KI","Seppingan-Borneo Island","no","WRLL",,,,,
41486,"WRLM","small_airport","Malinau Airport",3.57514,116.61967,26,"AS","ID","ID-KU","Malinau-Borneo Island","no","WALM",,,,"http://en.wikipedia.org/wiki/Robert_Atty_Bessing_Airport","WRLM"
41487,"WRLN","small_airport","Long Mawang Airport",1.7992,114.9043,1976,"AS","ID","ID-KU","Long Mawang-Borneo Island","no","WALN",,,,,"WRLN, Long Nawang"
35278,"WRLP","small_airport","Long Apung Airport",1.704486,114.970297,627,"AS","ID","ID-KU","Long Apung-Borneo Island","yes","WALP","LPU",,,"http://en.wikipedia.org/wiki/Long_Apung_Airport","WRLP"
41488,"WRLU","small_airport","Sangkulirang Airport",1.00089001656,117.996002197,34,"AS","ID","ID-KI","Sangkulirang-Borneo Island","no","WRLU",,,,,
307979,"ABE","closed","RAF Calveley",53.113333,-2.603889,,"EU","GB","GB-ENG","Cheshire","no",,,,,"http://en.wikipedia.org/wiki/RAF_Calveley",
302247,"ABL","closed","RNAS/RAF Calshot",50.8199131549,-1.30677223206,,"EU","GB","GB-ENG","Hampshire","no",,,,,"http://en.wikipedia.org/wiki/RAF_Calshot",
318235,"AD-0001","heliport","Camí Heliport",42.546257,1.51916,,"EU","AD","AD-04","La Massana","no",,,,,,
41841,"AD-ALV","heliport","Andorra la Vella Heliport",42.511174,1.533551,3450,"EU","AD","AD-07","Andorra La Vella","no",,"ALV",,,"http://pl.wikipedia.org/wiki/Heliport_Andorra_la_Vella",
300604,"ADJ","closed","RAF Castletown",58.5847198881,-3.3481693267800003,,"EU","GB","GB-SCT","Caithness","no",,,,,"http://en.wikipedia.org/wiki/RAF_Castletown",
300646,"AEI","heliport","Algeciras Heliport",36.12888,-5.441118,98,"EU","ES","ES-CA","Algeciras","yes","LEAG","AEI",,"http://www.aena-aeropuertos.es/csee/Satellite/Helipuerto-Algeciras/en/Algeciras.html","http://en.wikipedia.org/wiki/Algeciras_Heliport",
35356,"AL-0001","closed","Lapraka Heliport",41.333302,19.7913,297,"EU","AL","AL-11","Tirana","no",,,,,,
325353,"AL-0002","closed","Aeroporti i Korroticës së Ulët",42.6051923,20.9096986,,"EU","AL","AL-U-A","Korroticës së Ulët","no",,,,,,
325354,"AL-0003","closed","Aeroporti i Mifoit",40.6061798,19.4262538,,"EU","AL","AL-U-A","Mifoit","no",,,,,,
5,"AL-LA10","closed","Gjirokastër Airport",40.087889,20.151917,666,"EU","AL","AL-05","Gjirokastër","no","LASK",,,,"https://en.wikipedia.org/wiki/Gjirokastër_Airport","LA10"
43818,"AT-0001","heliport","Pöchlarn-Wörth Heliport",48.214737,15.255424,709,"EU","AT","AT-3","Pöchlarn-Wörth","no","LOAL",,,,,
46529,"AT-0002","seaplane_base","Scalaria Airchallenge Water Landing Area",47.734705433100004,13.4438323975,,"EU","AT","AT-4","Lake Wolfgang","no",,,,"http://www.airchallenge.scalaria.com/",,
312150,"AT-0003","heliport","Bad Tatzmannsdorf PVA Hospital Helipad",47.33072,16.22207,1247,"EU","AT","AT-1","Bad Tatzmannsdorf","no",,,,,,
312153,"AT-0004","heliport","Güssing Hospital Helipad",47.04977,16.3217,731,"EU","AT","AT-1","Güssing","no",,,,,,
320904,"AT-0005","closed","Retzer Land Heliport",48.7545,15.9622,781,"EU","AT","AT-3","Retz","no",,,,,"https://en.wikipedia.org/wiki/Retzer_Land_Heliport","LOAR"
329106,"AT-0006","heliport","Christophorus 8 Heliport",47.2089892,9.6598223,,"EU","AT","AT-8",,"no","LOIG",,,,,
329108,"AT-0007","heliport","Christophorus 15 Heliport",47.9692672,14.9396096,,"EU","AT","AT-3",,"no",,,,,,
329312,"AT-0008","heliport","Gmünd Heliport",48.78522,14.974763,1594,"EU","AT","AT-3","Gmünd","no","LOBG",,,,,
43884,"BA-0001","small_airport","Sport airfield Ciljuge",44.438152313232,18.685613632202,725,"EU","BA","BA-BIH","Tuzla","no","LQCG",,,,,
317425,"BA-0002","small_airport","Sportski Aerodrom Zalužani",44.8482,17.222826,,"EU","BA","BA-BIH","Zalužani","no","LQBZ",,,,,
321737,"BA-0003","small_airport","Brod Airstrip",44.846235,18.761888,337,"EU","BA","BA-SRP","Brod","no",,,,,,
